area,rural,rural,rural,rural,rural,rural,rural,rural,urban,urban,urban,urban,urban,urban,urban,urban
sex,men,men,men,men,women,women,women,women,men,men,men,men,women,women,women,women
is_entrepreneur,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True
is_skilled,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
"('area', 'urban')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.02463815307618,808.7482394866944,308.05375344848636,689.6684055786133,94.3094560623169,576.4861868133545,343.90085698699954,447.97175762176516
"('area', 'rural')",67.96409294128418,106.80580742645265,609.0201446151733,359.0549790039063,18.373536148071288,51.0032366104126,626.9478544082642,182.66854418945312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('sex', 'men')",67.96409294128418,106.80580742645265,609.0201446151733,359.0549790039063,0.0,0.0,0.0,0.0,142.02463815307618,808.7482394866944,308.05375344848636,689.6684055786133,0.0,0.0,0.0,0.0
"('sex', 'women')",0.0,0.0,0.0,0.0,18.373536148071288,51.0032366104126,626.9478544082642,182.66854418945312,0.0,0.0,0.0,0.0,94.3094560623169,576.4861868133545,343.90085698699954,447.97175762176516
"('is_entrepreneur', False)",67.96409294128418,106.80580742645265,0.0,0.0,18.373536148071288,51.0032366104126,0.0,0.0,142.02463815307618,808.7482394866944,0.0,0.0,94.3094560623169,576.4861868133545,0.0,0.0
"('is_entrepreneur', True)",0.0,0.0,609.0201446151733,359.0549790039063,0.0,0.0,626.9478544082642,182.66854418945312,0.0,0.0,308.05375344848636,689.6684055786133,0.0,0.0,343.90085698699954,447.97175762176516
"('is_skilled', False)",67.96409294128418,0.0,609.0201446151733,0.0,18.373536148071288,0.0,626.9478544082642,0.0,142.02463815307618,0.0,308.05375344848636,0.0,94.3094560623169,0.0,343.90085698699954,0.0
"('is_skilled', True)",0.0,106.80580742645265,0.0,359.0549790039063,0.0,51.0032366104126,0.0,182.66854418945312,0.0,808.7482394866944,0.0,689.6684055786133,0.0,576.4861868133545,0.0,447.97175762176516
"('total', 'headcount')",67.96409294128418,106.80580742645265,609.0201446151733,359.0549790039063,18.373536148071288,51.0032366104126,626.9478544082642,182.66854418945312,142.02463815307618,808.7482394866944,308.05375344848636,689.6684055786133,94.3094560623169,576.4861868133545,343.90085698699954,447.97175762176516
