dim,,area,area,is_entrepreneur,is_entrepreneur,is_skilled,is_skilled,total
subcat,,urban,rural,False,True,False,True,headcount
dim,subcat,,,,,,,
area,urban,2009077234.3097155,2009077179.1349692,786724341.0268192,786724313.4394485,-2795801608.795048,-2795801545.872564,-0.17759299725335911
area,rural,2009077234.3097138,2009077179.1349716,786724341.026819,786724313.4394479,-2795801608.795049,-2795801545.872564,-0.17759177642364993
is_entrepreneur,False,1829680044.4137228,1829680099.5884664,-3205701371.1851687,-3205701343.597798,1376021360.6175745,1376021297.695089,-0.21002084796321205
is_entrepreneur,True,1829680044.4137228,1829680099.5884664,-3205701371.185169,-3205701343.5977974,1376021360.6175742,1376021297.6950896,-0.2100213508462902
is_skilled,False,-3838757278.9957504,-3838757278.9957514,2418977030.373571,2418977030.3735704,1419780249.234568,1419780249.2345674,-0.6123873438070562
is_skilled,True,-3838757278.995752,-3838757278.995751,2418977030.373571,2418977030.373571,1419780249.2345672,1419780249.234569,-0.6123876278893041
total,headcount,0.27231398339342183,0.2723152042231309,-0.21522128206136354,-0.21522178494444166,-1.0570938903556855,-1.0570941744379336,1.0000019439970056
